Date,PL
2005/01/01,190
2005/01/02,190
2005/01/03,-220
2005/01/05,120
2005/01/06,450
2005/01/08,410
2005/01/09,-40
2005/01/11,-300
2005/01/12,670
2005/01/14,-180
2005/01/15,490
2005/01/16,-230
2005/01/18,720
2005/01/19,-1050
2005/01/21,170
2005/01/22,650
2005/01/24,50
2005/01/25,-340
2005/01/27,-300
2005/01/28,630
2005/01/29,420
2005/01/31,150
2005/02/01,90
2005/02/03,590
2005/02/04,-350
2005/02/06,480
2005/02/07,210
2005/02/09,-100
2005/02/10,-550
2005/02/12,200
2005/02/13,440
2005/02/14,350
2005/02/16,-150
2005/02/17,950
2005/02/19,1050
2005/02/20,180
2005/02/22,0
2005/02/23,0
2005/02/25,70
2005/02/26,20
2005/02/27,450
2005/03/01,170
2005/03/02,-50
2005/03/04,630
2005/03/05,160
2005/03/07,250
2005/03/08,180
2005/03/10,-160
2005/03/11,20
2005/03/13,220
2005/03/14,220
2005/03/15,80
2005/03/17,-180
2005/03/18,-110
2005/03/20,210
2005/03/21,190
2005/03/23,-230
2005/03/24,480
2005/03/26,150
2005/03/27,260
2005/03/28,-100
2005/03/30,-180
2005/03/31,-370
2005/04/02,40
2005/04/03,100
2005/04/05,20
2005/04/06,-170
2005/04/08,-50
2005/04/09,140
2005/04/11,-450
2005/04/12,100
2005/04/13,-640
2005/04/15,-320
2005/04/16,-120
2005/04/18,100
2005/04/19,120
2005/04/21,-60
2005/04/22,-50
2005/04/24,-230
2005/04/25,50
2005/04/26,170
2005/04/28,220
2005/04/29,40
2005/05/01,110
2005/05/02,-190
2005/05/04,-190
2005/05/05,10
2005/05/07,110
2005/05/08,440
2005/05/10,120
2005/05/11,-120
2005/05/12,250
2005/05/14,130
2005/05/15,-40
2005/05/17,250
2005/05/18,-100
2005/05/20,-260
2005/05/21,220
2005/05/23,170
2005/05/24,-20
2005/05/25,-250
2005/05/27,-220
2005/05/28,60
2005/05/30,90
2005/05/31,-130
2005/06/02,80
2005/06/03,100
2005/06/05,240
2005/06/06,360
2005/06/08,-30
2005/06/09,-80
2005/06/10,-60
2005/06/12,-130
2005/06/13,-50
2005/06/15,-580
2005/06/16,70
2005/06/18,180
2005/06/19,180
2005/06/21,450
2005/06/22,300
2005/06/23,-150
2005/06/25,-150
2005/06/26,180
2005/06/28,-460
2005/06/29,-40
2005/07/01,210
2005/07/02,180
2005/07/04,210
2005/07/05,320
2005/07/07,-40
2005/07/08,-370
2005/07/09,410
2005/07/11,0
2005/07/12,30
2005/07/14,-120
2005/07/15,30
2005/07/17,-50
2005/07/18,0
2005/07/20,150
2005/07/21,-50
2005/07/22,0
2005/07/24,230
2005/07/25,-10
2005/07/27,-160
2005/07/28,150
2005/07/30,100
2005/07/31,0
2005/08/02,0
2005/08/03,-90
2005/08/05,0
2005/08/06,0
2005/08/07,80
2005/08/09,80
2005/08/10,410
2005/08/12,-220
2005/08/13,-10
2005/08/15,-140
2005/08/16,140
2005/08/18,-40
2005/08/19,160
2005/08/20,-40
2005/08/22,30
2005/08/23,-160
2005/08/25,-40
2005/08/26,10
2005/08/28,100
2005/08/29,-90
2005/08/31,-40
2005/09/01,-80
2005/09/03,-40
2005/09/04,140
2005/09/05,110
