Date,PL,VaRBHS,VaREWMA,VaRn,VaRt,VaRPot,ESEWMA,ESn,ESt,ESPot
01/01/2005 00:00,190,,,,,,,,,
02/01/2005 00:00,190,,,,,,,,,
03/01/2005 00:00,-220,,,,,,,,,
05/01/2005 00:00,120,,,,,,,,,
06/01/2005 00:00,450,,,,,,,,,
08/01/2005 00:00,410,,,,,,,,,
09/01/2005 00:00,-40,,,,,,,,,
11/01/2005 00:00,-300,,,,,,,,,
12/01/2005 00:00,670,,,,,,,,,
14/01/2005 00:00,-180,,,,,,,,,
15/01/2005 00:00,490,,,,,,,,,
16/01/2005 00:00,-230,,,,,,,,,
18/01/2005 00:00,720,,,,,,,,,
19/01/2005 00:00,-1050,,,,,,,,,
21/01/2005 00:00,170,,,,,,,,,
22/01/2005 00:00,650,,,,,,,,,
24/01/2005 00:00,50,,,,,,,,,
25/01/2005 00:00,-340,,,,,,,,,
27/01/2005 00:00,-300,,,,,,,,,
28/01/2005 00:00,630,,,,,,,,,
29/01/2005 00:00,420,,,,,,,,,
31/01/2005 00:00,150,,,,,,,,,
01/02/2005 00:00,90,,,,,,,,,
03/02/2005 00:00,590,,,,,,,,,
04/02/2005 00:00,-350,,,,,,,,,
06/02/2005 00:00,480,,,,,,,,,
07/02/2005 00:00,210,,,,,,,,,
09/02/2005 00:00,-100,,,,,,,,,
10/02/2005 00:00,-550,,,,,,,,,
12/02/2005 00:00,200,,,,,,,,,
13/02/2005 00:00,440,,,,,,,,,
14/02/2005 00:00,350,,,,,,,,,
16/02/2005 00:00,-150,,,,,,,,,
17/02/2005 00:00,950,,,,,,,,,
19/02/2005 00:00,1050,,,,,,,,,
20/02/2005 00:00,180,,,,,,,,,
22/02/2005 00:00,0,,,,,,,,,
23/02/2005 00:00,0,,,,,,,,,
25/02/2005 00:00,70,,,,,,,,,
26/02/2005 00:00,20,,,,,,,,,
27/02/2005 00:00,450,,,,,,,,,
01/03/2005 00:00,170,,,,,,,,,
02/03/2005 00:00,-50,,,,,,,,,
04/03/2005 00:00,630,,,,,,,,,
05/03/2005 00:00,160,,,,,,,,,
07/03/2005 00:00,250,,,,,,,,,
08/03/2005 00:00,180,,,,,,,,,
10/03/2005 00:00,-160,,,,,,,,,
11/03/2005 00:00,20,,,,,,,,,
13/03/2005 00:00,220,,,,,,,,,
14/03/2005 00:00,220,,,,,,,,,
15/03/2005 00:00,80,,,,,,,,,
17/03/2005 00:00,-180,,,,,,,,,
18/03/2005 00:00,-110,,,,,,,,,
20/03/2005 00:00,210,,,,,,,,,
21/03/2005 00:00,190,,,,,,,,,
23/03/2005 00:00,-230,,,,,,,,,
24/03/2005 00:00,480,,,,,,,,,
26/03/2005 00:00,150,,,,,,,,,
27/03/2005 00:00,260,,,,,,,,,
28/03/2005 00:00,-100,,,,,,,,,
30/03/2005 00:00,-180,,,,,,,,,
31/03/2005 00:00,-370,,,,,,,,,
02/04/2005 00:00,40,,,,,,,,,
03/04/2005 00:00,100,,,,,,,,,
05/04/2005 00:00,20,,,,,,,,,
06/04/2005 00:00,-170,,,,,,,,,
08/04/2005 00:00,-50,,,,,,,,,
09/04/2005 00:00,140,,,,,,,,,
11/04/2005 00:00,-450,,,,,,,,,
12/04/2005 00:00,100,,,,,,,,,
13/04/2005 00:00,-640,,,,,,,,,
15/04/2005 00:00,-320,,,,,,,,,
16/04/2005 00:00,-120,,,,,,,,,
18/04/2005 00:00,100,,,,,,,,,
19/04/2005 00:00,120,,,,,,,,,
21/04/2005 00:00,-60,,,,,,,,,
22/04/2005 00:00,-50,,,,,,,,,
