Cusip,Date,Prices
00030710,20150102,30.21
00030710,20150105,29.73
00030710,20150106,29.38
00030710,20150107,28.64
00030710,20150108,29.37
00030710,20150109,30.13
00030710,20150112,29.27
00030710,20150113,29.73
00030710,20150114,29.65
00030710,20150115,28.7
00030710,20150116,30.13
00030710,20150120,29.06
00030710,20150121,28.96
00030710,20150122,29.07
00030710,20150123,27.89
00030710,20150126,28.3
00030710,20150127,27.72
00030710,20150128,26.62
00030710,20150129,26.27
00030710,20150130,25.52
00030710,20150202,25.59
00030710,20150203,27.46
00030710,20150204,27.34
00030710,20150205,28.5
00030710,20150206,28.66
00030710,20150209,28.15
00030710,20150210,27.92
00030710,20150211,27.91
00030710,20150212,28.2
00030710,20150213,29.11
00030710,20150217,29.36
00030710,20150218,29.45
00030710,20150219,29.38
00030710,20150220,30.39
00030710,20150223,32.1
00030710,20150224,33.26
00030710,20150225,37.33
00030710,20150226,36.61
00030710,20150227,35.99
00030710,20150302,34.27
00030710,20150303,30.73
00030710,20150304,32.66
00030710,20150305,32.1
00030710,20150306,29.3
00030710,20150309,26.2
00030710,20150310,25.8
00030710,20150311,24.65
00030710,20150312,26.13
00030710,20150313,27.74
00030710,20150316,28.79
00030710,20150317,29.54
00030710,20150318,29.77
00030710,20150319,30.19
00030710,20150320,30.71
00030710,20150323,28.8
00030710,20150324,28.14
00030710,20150325,27.97
00030710,20150326,28.08
00030710,20150327,29.27
00030710,20150330,29.86
00030710,20150331,30.58
00030710,20150401,30.73
00030710,20150402,30.99
00030710,20150406,30.59
00030710,20150407,32.32
00030710,20150408,31.54
00030710,20150409,31.86
00030710,20150410,32.1
00030710,20150413,31.16
00030710,20150414,31.11
00030710,20150415,32.02
00030710,20150416,31.93
00030710,20150417,31.62
00030710,20150420,33
00030710,20150421,33.11
00030710,20150422,33.25
00030710,20150423,33.04
00030710,20150424,32.36
00030710,20150427,31.41
00030710,20150428,31.75
00030710,20150429,31.31
00030710,20150430,34.66
00030710,20150501,34.43
00030710,20150504,34.21
00030710,20150505,32
00030710,20150506,31.02
00030710,20150507,30.98
00030710,20150508,31.68
00030710,20150511,32.79
00030710,20150512,33.6
00030710,20150513,34.19
00030710,20150514,36.38
00030710,20150515,37.01
00030710,20150518,37.65
00030710,20150519,35.98
00030710,20150520,35.69
00030710,20150521,37.95
00030710,20150522,39.35
00030710,20150526,38.31
00030710,20150527,38.73
00030710,20150528,38.55
00030710,20150529,38.86
00030710,20150601,39.04
00030710,20150602,38.91
00030710,20150603,41.48
00030710,20150604,41.67
00030710,20150605,41.87
00030710,20150608,41.75
00030710,20150609,39.16
00030710,20150610,43.39
00030710,20150611,43.52
00030710,20150612,43.17
00030710,20150615,42.61
00030710,20150616,43.43
00030710,20150617,43.32
00030710,20150618,43.61
00030710,20150619,44.28
00030710,20150622,44.22
00030710,20150623,44.16
00030710,20150624,43
00030710,20150625,43.43
00030710,20150626,43.17
00030710,20150629,43.07
00030710,20150630,43.56
00030710,20150701,42.94
00030710,20150702,44.75
00030710,20150706,44.7
00030710,20150707,43.19
00030710,20150708,40.88
00030710,20150709,43.61
00030710,20150710,42.41
00030710,20150713,43.7
00030710,20150714,43.46
00030710,20150715,42.83
00030710,20150716,43.32
00030710,20150717,41.84
00030710,20150720,40.98
00030710,20150721,38.98
00030710,20150722,38.64
00030710,20150723,38.81
00030710,20150724,38.86
00030710,20150727,39.09
00030710,20150728,39.6
00030710,20150729,39.07
00030710,20150730,37.49
00030710,20150731,38.01
00030710,20150803,32.79
00030710,20150804,29.835
00030710,20150805,31.125
00030710,20150806,30.06
00030710,20150807,26.655
00030710,20150810,28.23
00030710,20150811,27.54
00030710,20150812,29.25
00030710,20150813,33.57
00030710,20150814,33.93
00030710,20150817,34.59
00030710,20150818,36.18
00030710,20150819,34.2
00030710,20150820,32.685
00030710,20150821,36.45
00030710,20150824,33.45
00030710,20150825,32.01
00030710,20150826,32.4
00030710,20150827,32.64
00030710,20150828,33.735
00030710,20150831,35.415
00030710,20150901,33.18
00030710,20150902,37.545
00030710,20150903,37.95
00030710,20150904,35.925
00030710,20150908,35.7
00030710,20150909,33.51
00030710,20150910,34.545
00030710,20150911,33.75
00030710,20150914,34.785
00030710,20150915,33.84
00030710,20150916,35.895
00030710,20150917,35.475
00030710,20150918,35.67
00030710,20150921,35.325
00030710,20150922,34.725
00030710,20150923,36.285
